"Total energy consumed by the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"33,680","35,122","35,657","36,650","37,780","37,345","40,709","44,988","47,517","48,630","50,712","52,923","55,069","56,834","56,615","56,621","59,805","62,329","63,585","65,314","57,873","56,210","56,118","57,206","62,668","62,955","68,908","74,832","77,318","76,524","72,989","74,312","73,745","75,190","77,427","80,643","82,930","87,422","95,884","99,555","101,593","101,736","113,403","106,261","108,866","103,934","103,900","105,613","103,219","102,839","103,506","101,186","97,937","99,175","100,179","99,986","100,214","101,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"337,963","330,040","364,887","383,318","399,704","399,654","417,863","438,642","463,980","465,609","493,154","510,332","556,375","558,985","528,765","519,476","549,119","549,897","568,612","552,362","566,345","614,972","714,750","764,809","797,550","796,824","826,257","840,590","803,708","827,139","798,468","808,034","811,413","770,221","843,798","857,721","827,609","837,094","849,856","848,821","905,828","881,371","888,623","869,487","901,058","974,145","977,505","1,027,894","1,034,244","885,443","909,683","937,132","828,272","852,357","865,328","854,467","848,923","782,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"91,495","101,786","108,739","111,915","109,081","114,959","112,959","117,206","128,538","133,432","138,476","142,560","159,294","158,879","160,039","158,105","163,095","164,222","173,990","173,599","176,352","193,266","174,915","158,784","141,950","163,649","170,061","177,792","192,216","205,982","230,438","225,511","211,705","223,530","213,109","195,058","186,613","233,533","230,985","230,756","226,271","229,926","225,528","218,312","225,693","219,046","226,587","217,235","201,124","197,838","193,806","199,808","199,892","200,787","207,711","210,955","206,951","220,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"42,128","46,495","52,523","55,192","59,623","55,891","56,519","60,568","70,357","72,607","73,099","75,199","81,261","88,446","87,395","92,134","96,458","102,370","113,267","113,529","116,207","114,936","113,046","115,444","110,017","111,173","115,443","126,816","131,203","132,861","132,736","138,198","141,152","146,016","154,154","161,155","178,132","177,800","183,785","196,380","204,781","205,057","208,479","214,561","228,030","237,968","253,145","255,853","231,253","210,142","201,416","193,533","201,685","207,386","207,247","210,843","221,510","227,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"802,177","820,831","817,509","837,512","859,258","884,555","930,721","982,928","1,017,671","1,076,023","1,099,019","1,136,017","1,133,198","1,185,048","1,069,501","1,049,817","1,108,583","1,094,924","1,102,679","1,088,838","1,027,299","961,488","862,622","789,318","724,758","845,257","861,713","909,932","869,081","875,391","928,514","903,106","880,515","894,615","883,131","910,661","952,322","951,470","958,957","966,436","970,721","967,574","989,496","1,058,368","1,102,091","1,067,184","1,088,709","1,087,290","1,085,216","1,063,151","1,065,366","996,434","1,025,664","1,032,608","1,098,542","1,073,841","1,125,715","1,124,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"485,493","476,797","501,851","512,757","532,759","547,122","576,526","589,622","627,103","652,900","673,840","690,829","745,120","775,901","752,314","762,081","799,419","815,838","837,782","814,962","787,398","763,821","735,877","738,033","749,609","758,279","785,434","811,202","818,503","824,533","803,335","794,141","787,535","823,203","838,443","852,959","884,372","914,017","930,725","958,078","984,861","977,913","984,590","992,316","1,014,027","1,011,941","1,019,682","1,026,389","981,431","923,294","938,539","927,864","901,712","920,228","933,534","932,182","921,353","926,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"150,704","156,466","164,839","173,978","177,495","181,452","191,749","199,061","215,738","221,482","241,452","247,329","262,416","272,534","269,250","278,451","298,112","312,494","320,848","318,780","308,459","330,085","350,617","345,022","345,747","340,783","324,441","331,045","337,054","356,262","340,214","348,184","374,952","363,564","376,090","359,989","381,541","375,036","382,455","400,473","425,637","465,099","435,095","444,952","411,992","437,937","448,782","458,193","460,953","442,449","456,982","454,233","447,359","450,437","482,819","477,424","482,176","482,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"111,092","115,567","119,261","122,235","126,944","133,578","146,168","151,597","171,929","175,449","182,682","191,250","206,121","219,989","210,357","213,818","226,422","241,437","264,161","271,247","239,648","249,758","250,383","236,388","231,840","241,257","246,074","263,025","281,176","284,161","280,247","301,178","304,258","292,801","301,280","297,069","308,014","310,821","326,156","329,104","320,055","306,263","312,389","310,220","321,750","329,924","337,401","343,191","322,961","325,672","316,750","303,002","298,043","299,026","302,597","297,968","300,094","304,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"536,168","515,926","531,989","554,444","566,324","571,422","593,192","628,075","677,980","688,323","718,209","746,709","799,257","813,335","782,659","769,383","838,237","857,195","866,872","850,573","817,752","776,148","729,931","741,976","758,211","763,291","793,230","839,104","870,488","819,936","842,526","839,995","856,830","877,796","886,358","901,532","896,237","933,721","956,910","967,834","998,634","995,553","999,563","987,793","1,016,140","1,032,914","1,026,805","1,020,696","970,787","963,085","959,374","933,644","918,038","910,564","908,471","889,221","900,746","951,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"61,311","53,281","52,092","53,405","49,676","53,889","56,047","63,794","59,019","58,304","63,334","67,447","65,334","60,210","58,376","56,998","55,344","55,427","54,546","54,400","52,167","51,201","50,621","50,925","54,087","50,730","56,422","60,804","61,893","60,866","57,830","57,997","56,859","57,039","56,070","57,906","58,610","64,938","62,809","65,366","65,131","65,689","65,009","63,893","62,102","62,107","64,636","63,733","60,467","62,352","62,637","59,857","57,086","57,621","62,054","61,236","57,961","59,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"126,208","129,567","142,484","151,254","145,094","147,298","157,498","159,278","179,569","185,719","198,589","207,758","217,321","234,328","229,943","229,440","245,155","253,229","265,931","263,808","248,132","246,357","246,668","252,018","263,410","265,569","274,879","271,519","298,884","289,639","308,567","318,063","306,881","311,468","317,872","318,370","325,962","340,229","359,539","370,957","378,736","382,120","390,043","393,773","447,801","426,680","445,619","443,488","433,616","444,725","446,872","441,535","431,701","452,325","442,784","464,658","476,978","483,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"41,074","43,017","45,861","47,646","46,663","45,202","47,210","47,932","51,664","51,576","53,555","58,358","61,204","61,434","60,379","62,018","65,702","68,191","69,568","70,279","63,204","60,032","61,601","59,941","61,918","65,547","60,615","62,356","64,623","64,771","65,961","64,087","72,993","73,241","78,214","79,805","79,338","77,445","79,996","83,197","84,690","83,073","90,606","85,121","86,413","88,185","88,019","91,783","87,004","89,551","93,902","93,870","99,324","95,816","99,122","100,892","100,805","97,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"174,077","189,698","201,900","215,915","221,891","230,861","248,978","257,828","277,502","296,060","308,383","325,418","355,659","388,248","380,946","390,255","406,098","418,416","443,273","450,307","408,896","408,735","398,310","396,071","426,527","434,200","465,660","458,225","466,234","477,732","466,321","440,683","460,344","485,213","499,428","523,840","541,591","546,093","556,279","574,004","583,020","579,882","613,264","629,661","630,170","644,878","647,880","650,596","610,784","595,829","615,801","615,259","595,096","595,873","610,107","618,293","635,786","636,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"797,674","814,156","835,629","860,535","888,456","919,609","950,843","1,002,771","1,096,279","1,159,513","1,212,068","1,258,232","1,360,829","1,486,367","1,509,541","1,562,028","1,614,344","1,728,153","1,826,422","1,880,719","1,802,055","1,826,225","1,883,216","1,880,769","1,960,057","2,027,528","2,073,455","2,032,666","2,146,110","2,150,031","2,155,244","2,103,266","2,149,543","2,135,807","2,196,665","2,165,210","2,338,883","2,402,624","2,524,156","2,509,783","2,563,182","2,674,400","2,768,507","2,669,713","2,697,751","2,721,779","2,851,550","2,880,468","2,797,153","2,690,325","2,756,959","2,776,717","2,793,580","3,073,171","3,079,998","3,145,471","3,264,336","3,370,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
