"Total energy consumed by the residential sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"142,516","152,468","159,685","165,751","171,019","175,622","182,280","197,115","210,508","222,052","236,241","241,196","245,673","253,766","246,462","250,232","259,210","260,353","271,689","279,029","284,226","270,475","274,439","276,268","301,909","293,463","306,217","322,685","344,803","349,021","332,780","347,478","347,182","377,113","374,517","376,678","402,281","371,495","364,222","382,624","402,717","385,181","408,076","430,900","442,811","447,382","408,358","435,429","424,586","425,613","451,052","418,905","399,706","429,677","439,759","424,674","407,177","386,266",,,,,,,,,,,,,,,,,,,,,,,,,
ME,"63,480","71,491","71,422","74,783","67,060","68,536","65,260","72,929","76,945","80,213","81,731","83,862","89,768","86,926","86,516","86,760","102,189","108,823","104,899","95,683","85,326","76,567","76,498","68,698","72,819","83,637","88,254","87,843","94,627","94,289","86,089","84,624","88,300","91,153","85,171","90,674","94,787","92,408","94,530","91,749","91,844","91,570","84,404","105,517","111,673","107,849","100,143","97,232","88,151","90,439","88,688","87,784","81,328","85,006","91,333","107,360","96,576","99,557",,,,,,,,,,,,,,,,,,,,,,,,,
MI,"483,136","504,210","526,026","525,127","525,917","560,201","592,001","622,419","651,287","681,184","704,115","729,836","768,064","755,086","748,864","740,329","752,718","715,134","754,519","747,042","765,166","719,752","711,880","700,782","694,752","699,874","696,549","690,262","749,674","775,467","727,130","729,371","739,535","747,960","730,864","768,433","808,916","782,996","733,939","778,393","800,624","807,577","854,888","867,401","829,459","874,149","785,140","813,578","807,819","755,413","751,556","763,365","701,620","771,793","788,441","741,962","731,109","724,775",,,,,,,,,,,,,,,,,,,,,,,,,
MN,"196,677","201,780","211,538","209,265","218,960","239,221","254,460","255,912","270,724","285,818","299,192","304,645","319,002","308,071","314,858","314,617","319,745","309,900","327,068","323,756","301,821","288,524","319,538","300,407","300,320","309,391","304,247","293,209","330,356","346,261","324,383","342,566","326,562","341,009","341,633","359,525","383,103","359,680","331,011","353,254","368,594","369,778","398,235","427,260","409,748","404,187","388,049","413,803","420,527","407,142","400,272","398,746","375,572","416,512","431,646","379,915","375,441","385,911",,,,,,,,,,,,,,,,,,,,,,,,,
MO,"232,969","236,252","242,911","242,103","244,123","252,149","264,156","270,966","288,981","313,589","325,376","329,782","347,856","346,226","347,106","372,758","375,708","385,385","413,480","412,028","406,319","360,178","373,708","390,548","379,560","379,602","378,381","378,530","401,641","409,258","392,036","423,355","395,870","451,348","430,604","451,570","481,409","468,313","462,976","468,843","486,681","496,783","501,198","496,122","489,468","527,997","503,862","535,671","549,388","527,322","564,128","540,462","491,512","537,004","559,922","497,757","492,686","470,603",,,,,,,,,,,,,,,,,,,,,,,,,
MS,"85,738","83,480","88,751","91,787","97,083","96,252","106,668","105,957","120,612","130,610","146,662","155,458","165,799","168,356","163,149","150,528","150,862","160,980","168,293","162,666","164,144","157,617","162,540","160,361","166,076","168,362","168,538","169,404","174,005","179,352","186,219","188,940","190,576","198,674","202,044","210,958","222,295","212,867","227,137","230,273","247,792","221,470","240,576","240,786","232,739","228,888","230,787","232,324","228,528","221,210","240,412","229,193","194,198","211,025","217,710","196,603","187,472","178,257",,,,,,,,,,,,,,,,,,,,,,,,,
MT,"37,119","38,245","38,402","37,815","40,442","41,875","42,411","42,889","44,218","47,102","51,148","53,647","54,086","55,356","53,207","59,572","60,665","61,077","68,520","68,676","61,411","57,378","64,975","62,299","63,923","67,940","60,334","55,683","59,234","64,713","61,233","63,568","58,902","66,359","63,623","66,472","72,103","70,145","65,463","64,859","70,513","69,168","71,987","74,793","75,774","81,560","82,616","85,383","90,799","88,209","83,811","87,059","80,445","85,101","87,262","89,193","88,904","95,625",,,,,,,,,,,,,,,,,,,,,,,,,
NC,"234,706","242,574","255,496","256,616","252,220","259,571","281,752","288,975","311,780","326,081","342,595","349,925","356,062","362,458","347,240","349,261","377,247","400,598","411,245","414,060","407,232","389,247","386,851","391,401","435,696","425,550","447,775","472,764","489,108","496,474","465,339","479,683","495,062","537,252","521,648","557,674","597,147","561,385","583,928","590,240","638,505","621,464","656,815","662,904","694,717","712,773","682,819","729,378","738,333","735,632","809,950","737,732","675,269","689,828","721,520","689,950","688,250","649,395",,,,,,,,,,,,,,,,,,,,,,,,,
ND,"31,085","30,571","32,208","32,383","32,285","30,668","34,471","34,564","36,562","37,841","38,685","38,164","41,895","37,751","40,329","42,424","43,638","43,399","49,600","53,928","50,144","50,669","54,362","51,024","50,744","53,955","52,334","47,495","52,710","55,070","51,851","55,357","51,980","54,233","53,632","56,545","61,631","60,384","55,227","57,066","59,534","60,661","62,420","64,000","63,387","61,423","59,895","64,115","69,395","68,577","65,624","68,235","64,215","73,222","78,388","69,941","67,797","69,103",,,,,,,,,,,,,,,,,,,,,,,,,
NE,"78,554","80,599","85,934","84,604","89,190","95,729","101,574","101,619","107,688","118,308","127,721","129,012","130,524","122,291","119,725","125,591","127,997","125,889","127,335","124,730","125,892","119,379","132,054","134,082","128,885","128,122","123,290","119,419","129,152","132,146","127,198","134,793","125,424","139,178","137,255","139,667","148,119","146,435","143,342","140,266","148,299","154,401","155,398","151,927","147,521","153,275","149,727","159,682","165,213","158,710","163,725","160,922","146,988","163,581","163,525","148,592","148,334","146,189",,,,,,,,,,,,,,,,,,,,,,,,,
NH,"40,068","45,726","48,294","50,924","47,462","48,988","48,334","53,183","57,319","61,760","64,432","68,814","73,364","73,799","71,468","69,648","81,103","78,923","81,696","67,046","64,470","62,642","60,800","61,695","66,602","70,637","70,346","77,486","79,260","85,883","79,227","75,899","78,277","78,583","78,989","79,747","83,175","80,791","79,232","81,958","84,313","85,133","86,096","94,671","95,294","93,789","88,090","90,060","87,649","90,635","88,334","87,549","81,139","92,547","97,606","101,091","94,297","99,843",,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"309,972","332,950","347,263","368,295","376,111","392,763","410,786","438,912","458,130","483,374","496,494","505,866","535,433","536,693","504,963","497,385","529,587","513,384","512,772","458,097","502,793","505,340","480,042","479,774","494,411","498,032","503,961","526,571","556,440","565,994","510,908","520,283","529,946","540,383","575,626","548,057","577,802","559,255","531,916","567,163","580,731","573,831","591,130","640,241","635,009","637,895","574,519","619,069","603,410","590,417","597,860","575,584","539,163","583,831","595,380","581,657","538,379","536,042",,,,,,,,,,,,,,,,,,,,,,,,,
NM,"43,094","46,511","47,429","51,286","51,185","48,744","54,578","57,481","59,855","58,499","62,092","64,729","69,427","57,931","60,183","61,636","72,179","62,981","63,815","69,551","67,745","61,718","66,169","69,380","71,744","72,954","70,490","72,780","73,602","75,287","79,209","80,383","82,637","83,027","81,596","81,487","89,775","95,530","95,708","97,828","100,476","102,867","103,419","102,902","107,400","115,051","112,130","119,914","119,993","115,245","120,215","120,598","115,587","122,822","116,568","117,554","117,659","112,004",,,,,,,,,,,,,,,,,,,,,,,,,
NV,"14,034","14,910","16,490","21,041","26,140","24,193","26,825","27,349","28,709","32,595","36,847","40,954","43,482","46,285","46,626","48,161","47,602","49,935","56,025","60,824","61,927","60,060","66,721","61,285","65,712","68,109","65,814","69,410","75,580","82,321","87,862","92,626","93,882","99,475","108,902","104,195","118,251","121,468","126,119","129,612","139,017","143,400","138,992","147,493","152,514","155,347","166,191","165,984","161,213","154,554","154,566","154,767","152,694","159,674","151,032","151,761","157,992","164,799",,,,,,,,,,,,,,,,,,,,,,,,,
NY,"727,917","775,541","822,108","835,972","843,857","898,307","935,058","949,794","991,398","1,026,947","1,073,574","1,087,285","1,123,282","1,117,397","1,070,694","1,048,182","1,112,888","1,099,747","1,113,480","989,112","1,014,133","1,004,835","986,003","985,052","1,017,842","1,002,347","1,033,835","1,065,286","1,122,400","1,122,520","1,035,666","1,027,304","1,083,202","1,092,730","1,069,409","1,053,711","1,106,527","1,109,828","1,054,615","1,140,814","1,206,582","1,162,143","1,152,944","1,228,766","1,220,929","1,252,925","1,096,688","1,181,763","1,151,282","1,077,868","1,090,071","1,070,428","1,020,584","1,067,305","1,120,651","1,136,625","1,053,216","1,054,711",,,,,,,,,,,,,,,,,,,,,,,,,
OH,"629,546","636,231","665,748","677,554","677,707","714,493","759,540","779,155","799,498","833,568","855,492","864,430","903,110","884,802","892,410","881,286","927,936","918,474","947,713","858,996","867,042","832,241","822,005","788,826","817,648","811,339","829,083","844,598","895,371","920,270","820,423","869,495","864,523","900,283","885,418","922,743","950,210","909,412","849,658","913,486","929,821","885,492","935,875","954,607","949,812","986,944","893,130","968,987","966,849","931,135","955,557","939,265","862,547","912,224","950,116","894,251","870,981","838,689",,,,,,,,,,,,,,,,,,,,,,,,,
OK,"114,993","118,599","125,391","131,659","137,721","138,729","145,558","147,022","164,642","178,575","193,636","195,363","213,594","213,065","219,790","215,007","218,694","237,294","246,325","229,655","229,535","234,645","256,802","263,295","254,640","253,253","232,982","232,077","245,329","244,894","266,797","250,199","233,861","267,403","261,072","260,920","284,090","276,145","293,005","277,129","302,077","297,894","300,854","295,561","284,062","294,513","289,619","298,363","306,245","298,554","327,793","324,911","290,128","322,764","325,274","293,942","283,069","273,832",,,,,,,,,,,,,,,,,,,,,,,,,
