"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"697,260","699,934","748,394","775,284","823,757","859,906","900,300","915,531","968,996","1,023,972","1,067,972","1,104,522","1,122,760","1,214,593","1,123,057","1,069,386","1,148,110","1,129,827","1,154,687","1,219,177","1,156,510","1,140,938","1,102,129","1,120,386","1,192,374","1,160,048","1,182,435","1,249,115","1,288,359","1,320,439","1,268,899","1,265,252","1,253,052","1,300,726","1,308,886","1,325,478","1,364,479","1,362,168","1,365,626","1,403,954","1,442,911","1,433,507","1,518,868","1,568,832","1,551,347","1,579,051","1,470,967","1,505,828","1,466,627","1,455,349","1,467,051","1,411,381","1,368,473","1,393,684","1,398,843","1,395,939","1,355,778","1,314,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"232,332","244,897","237,907","241,423","242,725","232,176","244,258","256,811","271,194","288,283","302,380","353,571","380,418","378,940","354,413","324,651","380,599","396,866","384,636","363,580","381,550","380,501","426,436","391,587","418,276","423,461","444,354","433,183","484,767","478,996","457,234","460,089","480,096","484,742","485,845","466,077","481,292","482,984","453,483","454,170","490,040","444,967","446,209","450,107","461,995","458,727","450,725","450,244","455,297","413,083","421,949","420,743","404,426","415,649","416,968","426,202","395,490","392,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"1,851,644","1,876,674","1,985,156","2,072,621","2,140,394","2,278,302","2,430,278","2,490,875","2,627,315","2,734,264","2,702,538","2,798,196","2,970,324","3,060,405","2,916,310","2,865,742","2,983,999","2,873,174","2,942,354","2,923,445","2,824,417","2,673,062","2,525,049","2,521,430","2,597,220","2,634,458","2,651,892","2,639,558","2,812,015","2,845,535","2,873,329","2,806,614","2,854,945","2,851,029","2,871,612","2,997,508","3,098,656","3,098,949","3,036,610","3,201,410","3,200,039","3,082,678","3,138,618","3,178,592","3,142,544","3,194,370","3,025,532","3,021,652","2,914,767","2,690,182","2,751,881","2,786,791","2,687,014","2,836,290","2,882,460","2,792,606","2,769,536","2,774,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"723,031","728,237","766,680","775,637","816,048","865,284","922,187","929,413","991,475","1,081,915","1,107,892","1,148,516","1,209,799","1,257,708","1,237,566","1,246,041","1,293,627","1,257,346","1,350,594","1,350,455","1,224,226","1,176,563","1,187,287","1,190,390","1,251,746","1,258,254","1,245,900","1,251,390","1,355,217","1,392,696","1,400,741","1,427,437","1,441,091","1,487,515","1,523,934","1,608,278","1,679,242","1,648,802","1,625,618","1,698,834","1,749,574","1,721,114","1,785,370","1,864,039","1,864,114","1,858,173","1,831,733","1,894,098","1,911,161","1,786,038","1,863,087","1,856,922","1,826,064","1,867,763","1,923,292","1,789,990","1,811,223","1,832,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"899,857","898,673","939,806","954,239","989,314","1,043,038","1,102,147","1,132,505","1,211,237","1,265,602","1,309,269","1,326,842","1,383,498","1,418,725","1,399,043","1,412,553","1,471,585","1,505,717","1,556,126","1,530,220","1,422,627","1,364,588","1,361,929","1,364,968","1,382,791","1,405,803","1,407,765","1,430,886","1,500,220","1,511,766","1,483,468","1,517,029","1,507,429","1,618,739","1,630,375","1,687,615","1,773,784","1,770,667","1,815,633","1,855,308","1,795,642","1,829,456","1,843,663","1,849,830","1,860,748","1,948,782","1,932,557","1,984,369","1,947,954","1,842,603","1,914,784","1,858,790","1,780,804","1,844,894","1,905,771","1,822,582","1,766,398","1,726,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"404,939","411,387","438,300","473,278","513,324","511,644","566,410","579,960","645,521","684,793","746,912","786,107","830,744","847,974","817,314","771,990","778,923","819,170","849,268","877,571","833,876","817,881","814,290","819,939","858,698","837,167","846,367","868,802","917,601","959,292","1,028,502","1,054,459","1,079,176","1,087,525","1,100,904","1,128,160","1,153,880","1,152,892","1,144,864","1,239,366","1,246,924","1,134,614","1,176,881","1,209,214","1,212,299","1,168,021","1,212,369","1,224,549","1,165,658","1,111,627","1,179,994","1,157,889","1,144,728","1,139,863","1,159,615","1,138,077","1,160,620","1,176,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"227,460","241,691","248,275","252,510","263,813","258,824","275,598","260,368","280,467","314,298","322,784","333,934","342,383","347,660","351,944","345,409","365,130","361,105","383,374","397,177","360,216","337,187","316,999","323,449","359,490","370,198","352,552","329,241","341,806","351,807","347,472","352,416","346,127","364,199","368,375","388,345","394,493","365,367","387,928","393,216","407,328","355,696","378,964","377,063","399,048","419,478","439,103","469,893","456,678","427,046","402,053","403,202","395,970","406,672","405,408","404,110","404,888","420,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"826,470","858,960","902,745","930,073","967,053","1,000,435","1,089,558","1,137,963","1,211,104","1,281,029","1,342,676","1,403,918","1,480,269","1,551,096","1,501,847","1,458,782","1,558,503","1,633,866","1,665,364","1,730,521","1,667,382","1,629,516","1,592,073","1,668,995","1,800,225","1,797,051","1,879,993","1,966,269","2,044,646","2,064,537","2,055,247","2,034,967","2,129,600","2,215,853","2,243,414","2,356,456","2,442,905","2,420,159","2,463,893","2,473,188","2,587,792","2,534,318","2,556,856","2,576,431","2,650,199","2,677,722","2,622,040","2,686,093","2,698,637","2,556,866","2,695,337","2,569,742","2,488,292","2,537,747","2,570,546","2,535,020","2,547,815","2,503,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"159,415","154,763","164,872","170,619","172,006","169,405","180,786","185,106","191,968","192,560","191,117","195,302","203,742","202,197","204,358","206,515","210,442","210,359","230,012","237,989","222,373","236,161","234,682","230,477","259,557","300,438","303,900","302,940","306,556","319,110","312,429","322,310","328,612","331,542","341,308","349,465","352,427","358,832","346,952","374,506","380,598","406,225","399,980","399,476","403,042","408,105","414,433","437,194","443,699","435,006","476,718","529,637","553,657","594,918","644,845","612,376","586,429","631,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"307,836","314,944","327,421","334,977","347,076","348,616","389,146","385,223","422,750","455,912","487,481","496,173","509,525","522,129","518,540","525,658","554,831","556,876","556,658","545,126","507,068","477,613","492,029","502,801","506,451","499,912","482,525","495,732","535,116","533,925","525,308","534,720","523,410","551,179","574,735","603,029","634,394","647,540","664,048","654,171","655,874","653,448","664,606","673,511","685,988","693,602","709,964","757,048","795,353","778,840","861,617","863,554","853,389","872,746","870,154","853,819","868,307","876,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
