"Total energy consumed by the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"307,727","301,913","315,394","329,635","359,227","375,218","389,792","385,737","396,927","423,741","426,631","444,281","434,307","496,416","426,045","367,081","414,956","386,932","394,618","449,709","388,560","391,532","354,279","366,856","421,952","396,235","391,549","411,781","416,937","436,595","428,957","391,468","363,850","376,387","360,929","253,925","261,003","279,681","259,872","252,652","254,499","258,339","377,303","437,541","382,450","382,367","181,997","181,135","173,061","149,779","144,500","138,881","126,560","111,051","114,947","113,265","110,038","108,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"85,245","84,766","77,205","74,563","84,481","74,417","83,322","89,779","92,974","103,584","107,649","147,836","151,911","149,992","141,240","112,979","143,850","150,076","142,700","139,432","174,867","185,376","227,027","200,117","210,626","202,571","203,984","188,780","207,933","212,163","192,551","206,950","227,495","225,673","234,770","221,749","223,000","220,773","191,670","192,704","212,062","186,763","179,322","143,870","158,420","152,032","153,406","157,167","179,476","136,646","147,982","148,898","146,939","143,856","133,167","121,923","104,877","103,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"804,612","802,800","844,509","903,181","941,725","1,008,281","1,075,110","1,066,524","1,106,760","1,130,060","1,077,018","1,107,882","1,163,727","1,207,380","1,088,638","1,070,541","1,133,897","1,087,296","1,091,564","1,082,685","1,018,224","957,579","853,451","856,310","904,616","925,056","937,033","851,503","939,495","924,466","1,001,689","927,466","955,481","822,298","854,974","895,762","922,256","935,423","910,980","973,071","950,988","867,119","837,086","903,454","864,890","865,404","819,613","776,931","733,941","610,060","688,919","711,614","710,863","738,156","751,957","717,376","701,561","716,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"280,496","275,230","286,293","286,607","333,172","345,845","359,694","335,794","354,721","404,218","396,190","413,801","439,234","477,202","445,074","444,797","485,892","466,499","508,651","522,369","446,000","419,563","394,596","406,303","425,328","429,648","430,746","457,138","485,912","504,837","534,893","524,117","540,268","546,921","562,134","596,725","621,635","621,502","615,840","624,408","631,787","528,428","538,612","563,321","584,889","577,018","581,573","606,024","633,281","567,476","653,717","654,974","649,242","645,476","671,939","613,483","618,670","628,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"299,965","296,574","305,797","315,124","330,516","363,679","383,614","371,081","390,119","404,642","403,505","399,244","406,091","439,712","429,361","410,160","396,958","406,923","405,335","403,502","359,881","379,565","348,993","325,333","331,026","346,500","321,368","322,317","336,279","325,948","319,950","311,459","318,330","332,029","351,808","355,632","365,172","361,548","361,651","392,924","365,174","385,256","381,826","373,473","400,281","424,949","434,577","432,145","398,797","344,103","366,796","350,898","355,803","355,057","364,482","359,075","304,086","301,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"155,193","160,880","166,894","184,253","211,521","213,738","245,505","249,381","272,343","287,010","317,413","330,626","347,267","346,754","322,596","307,383","309,395","320,271","328,092","332,192","303,069","294,566","308,515","322,271","358,201","324,329","314,909","309,991","338,582","384,747","439,270","438,562","449,513","448,469","450,881","457,733","460,486","436,692","403,958","471,547","465,985","408,523","413,138","417,768","445,519","420,232","440,427","445,591","410,300","375,076","412,633","410,214","417,349","400,473","399,672","392,793","384,131","401,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"105,796","114,803","122,386","128,563","135,239","129,693","141,675","129,166","144,394","167,234","166,268","170,947","171,989","167,573","174,659","159,461","171,764","170,276","170,267","189,514","167,668","153,639","125,607","126,723","136,957","151,949","145,393","144,805","148,544","152,822","152,778","154,945","147,575","151,792","154,398","169,114","167,701","139,662","167,863","173,353","169,195","116,817","134,367","130,815","144,924","150,378","163,539","187,098","175,204","146,844","127,705","121,153","126,562","127,154","126,941","126,921","122,613","127,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"301,423","313,546","331,008","339,504","365,726","371,267","410,337","424,716","437,854","458,997","477,918","505,424","542,432","566,614","539,649","506,443","552,498","575,382","568,829","630,974","599,344","566,764","533,013","567,448","617,062","604,644","625,966","642,522","656,299","678,406","706,439","672,005","733,050","736,816","750,467","787,086","772,706","778,065","758,683","732,489","745,275","714,601","681,549","668,683","665,711","652,932","638,274","609,631","604,560","525,472","571,829","570,525","574,013","568,995","553,184","556,050","556,459","562,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"74,158","70,643","71,983","76,616","77,439","74,785","76,576","79,397","78,440","79,178","76,684","77,453","77,659","77,430","74,906","72,294","72,272","68,923","75,064","78,001","66,396","83,630","74,385","78,728","102,943","140,242","150,113","156,388","151,647","161,174","156,788","160,360","169,767","165,692","175,063","176,083","169,129","176,326","179,876","190,003","191,947","202,432","190,275","188,466","188,658","195,414","205,376","207,353","215,884","214,160","244,187","271,840","283,367","298,540","336,970","320,378","310,382","343,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"92,922","94,220","95,326","95,634","101,513","98,503","122,769","98,488","109,148","116,411","127,089","127,703","128,328","146,445","153,503","160,513","170,178","164,553","164,179","169,017","147,485","131,909","124,546","123,572","124,196","122,299","114,813","126,322","133,212","135,591","133,620","132,875","133,370","149,527","160,113","173,131","178,753","191,549","208,719","199,284","202,797","206,250","209,241","221,267","235,074","237,171","252,798","280,398","308,283","304,593","351,734","367,974","382,089","374,909","363,817","368,045","384,598","392,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
