"Total energy consumed by the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"74,081","72,883","75,120","80,255","86,348","91,948","99,147","107,167","113,270","122,801","131,968","145,476","153,041","161,124","153,564","154,764","163,691","161,384","162,559","171,938","164,899","155,261","160,564","171,613","160,317","152,717","158,795","176,099","175,452","174,177","175,818","189,675","197,958","205,003","230,198","345,931","343,262","342,432","362,448","368,748","383,075","385,401","332,298","283,563","286,896","292,222","417,281","431,954","427,817","422,585","431,254","428,190","419,428","426,151","426,006","428,556","422,310","407,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"16,910","18,534","18,883","19,996","20,104","20,412","20,020","20,375","21,249","23,278","25,367","28,687","30,730","30,841","29,982","32,506","37,363","39,285","38,270","34,910","38,009","36,081","37,103","38,974","45,677","43,250","51,375","48,240","59,758","62,426","63,209","62,692","60,241","62,460","58,515","51,732","58,177","59,193","59,439","58,007","66,297","59,592","60,521","69,942","70,643","68,143","66,461","70,819","71,280","63,927","63,311","63,417","61,281","58,735","63,256","67,780","62,878","65,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"176,606","180,994","208,743","214,547","221,947","242,444","262,147","275,078","295,250","316,891","327,914","352,976","378,323","409,503","413,213","394,068","400,717","358,539","372,225","402,905","420,888","395,428","392,429","387,325","396,642","394,856","383,345","430,697","430,595","460,049","460,580","453,849","458,868","542,041","543,997","572,361","599,703","597,541","590,554","612,162","632,486","605,162","622,022","612,033","642,558","652,058","623,385","642,946","633,422","601,685","593,606","610,380","581,142","600,680","624,556","600,388","595,392","598,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"64,497","68,750","82,900","85,418","66,461","72,946","86,737","114,938","121,374","131,588","138,424","141,332","148,695","149,532","159,948","167,111","161,060","150,187","166,112","144,776","144,825","150,721","166,467","172,840","185,444","186,172","174,021","166,909","190,199","197,674","202,227","202,545","193,909","198,526","203,266","218,823","231,137","227,162","215,444","225,710","236,415","321,409","337,025","359,769","340,812","345,038","341,076","349,441","357,405","347,165","340,235","341,435","332,892","357,962","369,255","350,685","349,594","357,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"113,149","109,991","115,008","114,865","122,370","122,580","149,203","168,026","172,972","177,303","189,500","193,972","205,649","204,671","201,231","204,909","254,570","256,749","268,484","267,899","245,863","225,614","234,386","239,305","251,287","249,698","258,226","270,839","285,660","292,982","294,344","307,997","302,078","329,605","327,939","340,431","360,514","362,022","363,265","372,805","388,492","392,375","389,722","387,115","394,224","405,390","400,257","416,269","426,549","411,409","420,010","413,610","397,586","411,312","428,847","414,623","412,159","403,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"34,724","37,600","41,424","44,028","46,957","39,878","45,246","48,336","53,810","56,921","66,837","71,898","76,822","81,515","84,647","83,005","84,023","89,228","94,705","124,185","105,796","107,782","90,530","95,814","91,223","93,753","93,446","95,281","96,539","106,385","111,518","111,898","111,581","110,608","116,550","123,772","130,279","152,347","161,563","167,379","173,849","156,415","168,715","174,530","170,498","162,248","165,070","174,559","166,353","159,299","164,992","164,068","149,415","160,252","162,109","157,667","153,673","152,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"26,308","26,864","27,109","27,939","30,333","29,490","29,394","31,496","30,178","33,728","37,236","38,061","40,329","40,938","38,568","44,220","44,430","43,926","47,092","47,330","42,226","42,341","45,570","51,066","75,805","68,826","65,592","46,674","49,723","51,351","51,495","52,828","51,744","55,283","55,840","54,259","57,689","56,507","55,074","51,019","61,789","62,252","64,854","68,705","67,778","69,664","72,110","70,611","72,941","79,668","74,753","78,153","75,071","76,914","78,267","76,458","78,288","81,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"58,375","59,798","66,372","69,327","74,889","90,207","102,228","116,935","132,531","147,823","158,118","173,646","182,672","195,818","188,594","179,309","185,788","194,269","201,901","205,101","217,053","225,056","223,699","241,607","268,731","273,407","286,421","306,489","323,573","339,922","346,355","352,873","362,168","382,136","392,122","410,558","434,658","431,219","456,687","471,292","501,476","505,689","517,727","530,280","554,308","563,277","561,525","589,224","599,751","596,001","611,262","578,514","568,079","556,187","572,879","579,329","581,183","566,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"12,477","12,872","13,890","14,105","13,969","16,641","19,853","18,539","19,324","20,016","21,483","21,434","23,387","24,322","28,836","28,746","28,657","27,438","32,191","33,069","33,361","29,242","32,736","31,520","35,327","37,488","34,547","31,365","33,627","35,548","38,515","40,203","37,181","38,352","39,898","43,981","47,114","46,423","45,155","45,481","48,509","55,254","59,653","57,930","58,883","59,340","58,232","62,845","65,793","65,382","66,247","73,134","73,710","85,268","82,840","85,931","85,210","87,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"42,139","43,500","44,997","46,404","49,246","52,250","57,128","68,674","76,091","88,768","93,347","96,636","95,123","89,898","92,124","89,618","98,472","98,059","92,176","95,263","92,688","94,527","99,920","100,815","111,971","108,441","102,898","101,975","111,526","112,772","112,648","118,724","110,467","111,829","123,463","126,756","129,570","128,643","123,143","120,469","132,246","130,437","132,917","127,904","129,690","130,537","133,109","140,627","145,814","138,867","141,115","135,792","131,838","140,427","141,582","137,058","134,497","135,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
