Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2018,13998,Ohio Edison Co,OH,PJM,0,0,16,0,16,0,0,0,0,0,0.0,0.0,216.4,0.0,216.4,0.0,0.0,0.0,0.0,0.0,0,0,"10,898",0,"10,898",0,0,0,0,0,.
2018,14063,Oklahoma Gas & Electric Co,AR,SWPP,0,10,0,0,10,0,0,0,0,0,0.0,57.2,0.0,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0,"3,644",0,0,"3,644",0,0,0,0,0,0
2018,14063,Oklahoma Gas & Electric Co,OK,SWPP,"97,997","12,074",0,0,"110,071","13,768","13,330",0,0,"27,098",120.0,113.8,0.0,0.0,233.8,120.0,9.1,0.0,0.0,129.1,"1,715","4,466",0,0,"6,180","1,085",133,0,0,"1,218",0
2018,14127,Omaha Public Power District,NE,SWPP,"46,501",25,1,.,"46,527",0,0,0,.,0,68.5,39.0,12.0,.,119.5,68.5,39.0,12.0,.,119.5,"1,290","1,182",576,.,"3,048",673,40,0,.,713,0
2018,14132,City of Onawa - (IA),IA,MISO,485,6,0,0,491,3,0,0,0,4,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,129,0,0,0,129,0,0,0,0,0,.
2018,14154,Orange & Rockland Utils Inc,NY,NYIS,"3,106",39,16,0,"3,161",37,46,30,0,113,3.1,14.1,11.7,0.0,29.0,2.3,11.4,8.5,0.0,22.2,148,350,264,0,762,248,67,27,0,342,.
2018,14175,"Tri-County Electric Coop, Inc",SC,SC,"17,253",.,530,.,"17,783","1,013",.,320,.,"1,333",3.0,.,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,14178,"P K M Electric Coop, Inc",MN,MISO,"1,691",100,.,.,"1,791",.,.,.,.,.,28.0,4.3,.,.,32.3,13.2,3.2,.,.,16.4,10,2,.,.,12,.,.,.,.,.,5
2018,14201,City of Osage - (IA),IA,MISO,569,65,.,.,634,7,2,.,.,8,0.7,0.2,.,.,0.8,0.7,0.2,.,.,0.8,.,.,.,.,.,.,.,.,.,.,.
2018,14202,"Osceola Electric Coop, Inc",IA,SWPP,590,.,.,.,590,.,.,.,.,.,3.1,.,.,.,3.1,2.5,.,.,.,2.5,24,.,.,.,24,3,.,.,.,3,.
2018,14246,City of Owatonna - (MN),MN,MISO,"5,063",209,4,.,"5,276",25,15,2,.,42,1.5,1.7,0.2,.,3.4,1.5,1.7,0.2,.,3.4,256,75,22,.,353,6,.,.,.,6,.
2018,14328,Pacific Gas & Electric Co.,CA,CISO,"649,445","661,743","12,734",0,"1,323,922","19,974",378,"2,630",0,"22,982",159.0,385.0,281.0,0.0,825.0,49.0,1.0,28.0,0.0,78.0,265,"4,218","29,349",0,"33,832","17,021","14,865","5,387",0,"37,273",.
2018,14354,PacifiCorp,ID,PACE,0,0,194,0,194,.,.,.,.,.,0.0,0.0,253.4,0.0,253.4,0.0,0.0,150.6,0.0,150.6,0,0,0,0,0,0,0,"3,746",0,"3,746",0
2018,14354,PacifiCorp,OR,PACW,0,0,3,0,3,.,.,.,.,.,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,181,0,181,0
2018,14354,PacifiCorp,UT,PACE,"105,633",0,53,0,"105,686",.,.,.,.,.,219.0,0.0,38.7,0.0,257.7,108.2,0.0,17.6,0.0,125.8,"2,048",0,0,0,"2,048","2,324",0,440,0,"2,764",0
2018,14398,Palmetto Electric Coop Inc,SC,SC,"38,159",58,6,0,"38,223",173,0,0,0,173,34.8,7.0,2.9,0.0,44.7,24.4,6.0,2.4,0.0,32.8,126,0,0,0,126,867,18,2,0,887,640
2018,14426,Panhandle Rural El Member Assn,NE,WACM,.,.,421,.,421,.,.,"8,315",.,"8,315",.,.,114.9,.,114.9,.,.,0.0,.,0.0,.,.,430,.,430,.,.,158,.,158,0
2018,14468,People's Cooperative Services,MN,MISO,"2,195",65,5,0,"2,265",0,0,0,0,0,6.8,2.3,0.4,0.0,9.5,3.1,1.0,0.2,0.0,4.3,720,21,35,0,776,116,3,6,0,125,0
2018,14557,"Pee Dee Electric Coop, Inc",SC,SC,.,.,4,.,4,.,.,.,.,.,.,.,8.5,.,8.5,.,.,7.2,.,7.2,.,.,.,.,.,.,.,.,.,.,33
2018,14715,PPL Electric Utilities Corp,PA,PJM,.,40,20,.,60,.,.,.,.,.,.,6.2,119.7,.,125.9,.,6.2,105.3,.,111.5,.,75,"1,804",.,"1,879",.,8,816,.,824,.
2018,14716,Pennsylvania Power Co,PA,PJM,"50,000",0,9,0,"50,009",0,0,0,0,0,2.5,0.0,41.7,0.0,44.2,1.9,0.0,41.7,0.0,43.6,0,0,231,0,231,120,0,23,0,143,.
2018,14717,Pee Dee Electric Member Corp,NC,CPLE,.,107,.,.,107,.,.,.,.,.,.,6.0,.,.,6.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,14940,PECO Energy Co,PA,PJM,"59,350","1,520",210,.,"61,080","159,789","3,270",140,.,"163,199",40.0,2.0,160.0,.,202.0,30.0,2.0,145.0,.,177.0,"2,374",60,.,.,"2,434",1,45,"4,400",.,"4,446",.
2018,15023,Piedmont Electric Member Corp,NC,DUK,"6,916",68,.,.,"6,984",.,.,.,.,.,6.1,0.1,.,.,6.2,5.9,0.1,.,.,6.0,136,9,.,.,145,408,3,.,.,411,.
2018,15034,Pierce-Pepin Coop Services,WI,MISO,"6,707",346,.,.,"7,053",.,.,.,.,.,16.7,3.3,.,.,20.0,3.7,0.7,.,.,4.4,.,.,.,.,.,112,3,.,.,115,.
2018,15188,Polk County Rural Pub Pwr Dist,NE,SWPP,.,.,852,.,852,.,.,.,.,.,.,.,23.9,.,23.9,.,.,7.4,.,7.4,.,.,"1,077",.,"1,077",.,.,20,.,20,.
2018,15248,Portland General Electric Co,OR,PGE,"15,365","1,850",.,.,"17,215",.,.,.,.,.,8.2,16.0,.,.,24.2,8.2,14.4,.,.,22.6,351,553,.,.,904,567,"3,606",.,.,"4,174",.
2018,15270,Potomac Electric Power Co,DC,PJM,"25,251",.,.,.,"25,251",272,.,.,.,272,20.7,.,.,.,20.7,20.7,.,.,.,20.7,921,.,.,.,921,856,.,.,.,856,.
2018,15270,Potomac Electric Power Co,MD,PJM,"328,300","3,747",.,.,"332,047","28,676",542,.,.,"29,218",335.0,11.6,.,.,346.6,335.0,11.6,.,.,346.6,"17,896",409,.,.,"18,305","11,934",740,.,.,"12,674",.
2018,15344,Polk-Burnett Electric Coop,WI,MISO,"6,958",89,0,0,"7,047",0,0,0,0,0,25.5,0.7,0.0,0.0,26.2,6.5,0.2,0.0,0.0,6.7,0,0,0,0,0,24,0,0,0,24,43
2018,15356,Price Electric Coop Inc,WI,MISO,"1,695",17,.,.,"1,712",.,.,.,.,.,5.3,1.6,.,.,6.9,1.5,0.4,.,.,1.9,384,4,.,.,388,13,.,.,.,13,.
2018,15387,Princeton Public Utils Comm,MN,MISO,514,8,.,.,522,6,0,.,.,6,0.1,0.0,.,.,0.1,0.0,0.0,.,.,0.0,7,0,.,.,7,29,0,.,.,29,0
2018,15410,Prince George Electric Coop,VA,PJM,805,.,.,.,805,.,.,.,.,.,1.0,.,.,.,1.0,1.0,.,.,.,1.0,306,.,.,.,306,.,.,.,.,.,0
2018,15466,Public Service Co of Colorado,CO,PSCO,"1,804",103,0,0,"1,907",95,4,0,0,99,233.1,230.0,0.0,0.0,463.1,193.3,0.0,0.0,0.0,193.3,"8,146","24,973",0,0,"33,119","3,530","1,365",0,0,"4,895",0
2018,15470,"Duke Energy Indiana, LLC",IN,MISO,"54,010",23,75,.,"54,108",.,.,.,.,.,59.7,36.6,488.7,.,585.0,.,.,44.0,.,44.0,535,81,.,.,616,"1,382",.,.,.,"1,382",.
2018,15473,Public Service Co of NM,NM,PNM,"37,131","6,592",110,.,"43,833",464,91,509,.,"1,064",33.1,8.7,21.0,.,62.8,32.6,8.0,15.2,.,55.8,928,296,907,.,"2,131","2,704",400,"1,361",.,"4,465",0
2018,15474,Public Service Co of Oklahoma,OK,SWPP,0,220,0,0,220,0,"1,152",0,0,"1,152",0.0,59.6,0.0,0.0,59.6,0.0,54.4,0.0,0.0,54.4,0,"2,378",0,0,"2,378",0,400,0,0,400,0
2018,15477,Public Service Elec & Gas Co,NJ,PJM,"90,371",997,.,.,"91,368",.,.,.,.,.,65.0,1.0,.,.,66.0,.,.,.,.,.,.,.,.,.,.,870,59,.,.,930,.
2018,15619,City of Radford - (VA),VA,PJM,.,.,1,.,1,.,.,.,.,.,.,.,3.5,.,3.5,.,.,3.5,.,3.5,.,.,.,.,.,.,.,.,.,.,.
2018,15671,Randolph Electric Member Corp,NC,CPLE,.,229,.,.,229,.,.,.,.,.,.,14.6,.,.,14.6,.,8.9,.,.,8.9,.,447,.,.,447,.,.,.,.,.,.
2018,15700,Rayle Electric Membership Corp,GA,SOCO,.,.,2,.,2,.,.,.,.,.,.,.,2.5,.,2.5,.,.,1.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.
2018,15746,Red River Valley Rrl Elec Assn,OK,SWPP,.,.,1,.,1,.,.,30,.,30,.,.,5.0,.,5.0,.,.,5.0,.,5.0,.,.,351,.,351,.,.,.,.,.,.
2018,15748,Town of Reading - (MA),MA,ISNE,.,38,.,.,38,.,.,.,.,.,.,64.8,.,.,64.8,.,64.8,.,.,64.8,.,17,.,.,17,.,31,.,.,31,.
2018,16060,Riverland Energy Cooperative,WI,MISO,"9,209",346,0,0,"9,555",0,0,0,0,0,13.5,3.7,0.0,0.0,17.2,6.6,1.8,0.0,0.0,8.4,"1,030",39,0,0,"1,069",42,2,0,0,44,.
2018,16101,Roanoke Electric Member Corp,NC,PJM,629,.,.,.,629,0,.,.,.,0,0.1,.,.,.,0.1,0.1,.,.,.,0.1,275,.,.,.,275,.,.,.,.,.,.
2018,16181,Rochester Public Utilities,MN,MISO,"7,799",106,1,.,"7,906",42,326,106,.,473,2.7,4.7,1.9,.,9.3,.,.,.,.,.,141,256,246,.,643,.,.,.,.,.,.
2018,16183,Rochester Gas & Electric Corp,NY,NYIS,"5,622",38,7,.,"5,667",235,70,156,.,461,7.4,7.2,6.7,.,21.3,1.0,10.0,16.1,.,27.1,411,163,159,.,733,912,36,36,.,984,.
2018,16267,Rolling Hills Electric Coop,KS,SWPP,.,.,304,.,304,.,.,160,.,160,.,.,15.0,.,15.0,.,.,8.0,.,8.0,.,.,48,.,48,.,.,34,.,34,.
2018,16284,"Roseau Electric Coop, Inc",MN,MISO,"3,030",45,0,0,"3,075",508,"2,465",0,0,"2,973",0.7,0.4,0.0,0.0,1.1,0.7,0.4,0.0,0.0,1.1,66,146,0,0,212,0,0,0,0,0,20
2018,16295,City of Roseville - (CA),CA,BANC,"3,594",.,.,.,"3,594",0,.,.,.,0,2.1,.,.,.,2.1,0.0,.,.,.,0.0,38,.,.,.,38,23,.,.,.,23,.
2018,16496,Rutherford Elec Member Corp,NC,DUK,"7,619",.,.,.,"7,619",0,.,.,.,0,3.0,.,.,.,3.0,0.0,.,.,.,0.0,162,.,.,.,162,.,.,.,.,.,0
2018,16534,Sacramento Municipal Util Dist,CA,BANC,"85,858",25,1,0,"85,884",0,47,54,0,101,60.6,9.8,8.6,0.0,78.9,0.0,4.1,8.0,0.0,12.1,0,326,237,0,564,238,222,0,0,460,0
2018,16572,Salt River Project,AZ,SRP,"13,485",0,3,.,"13,488",340,0,14,.,354,21.0,0.0,78.0,.,99.0,21.0,0.0,53.0,.,74.0,382,0,.,.,382,368,0,.,.,368,.
2018,16604,City of San Antonio - (TX),TX,ERCO,"117,659",444,.,.,"118,103","18,237","2,781",.,.,"21,018",119.0,117.0,.,.,236.0,119.0,117.0,.,.,236.0,"9,521","5,123",.,.,"14,644",332,197,.,.,529,.
2018,16606,"Santee Electric Coop, Inc",SC,SC,46,.,.,.,46,165,.,.,.,165,0.3,.,.,.,0.3,0.3,.,.,.,0.3,3,.,.,.,3,7,.,.,.,7,.
2018,16609,San Diego Gas & Electric Co,CA,CISO,"107,109","131,875","1,289",0,"240,273",375,238,212,0,825,13.9,15.8,7.2,0.0,36.9,13.9,15.8,7.2,0.0,36.9,"1,444",899,269,0,"2,612","2,267","7,361","1,905",0,"11,533",.
2018,16627,San Patricio Electric Coop Inc,TX,ERCO,.,.,19,.,19,.,.,0,.,0,.,.,25.1,.,25.1,.,.,6.9,.,6.9,.,.,"1,037",.,"1,037",.,.,.,.,.,.
2018,16674,Satilla Rural Elec Member Corporation,GA,SOCO,0,788,22,0,810,0,7,5,0,12,0.0,6.8,16.0,0.0,22.8,0.0,3.0,10.0,0.0,13.0,0,0,0,0,0,0,25,25,0,50,.
2018,16740,Scenic Rivers Energy Coop,WI,MISO,"4,751",491,9,0,"5,251",0,0,0,0,0,6.5,0.4,0.8,0.0,7.7,3.8,0.2,0.5,0.0,4.5,275,28,32,0,335,61,6,7,0,74,31
2018,16805,SEMO Electric Cooperative,MO,AECI,.,359,.,.,359,.,16,.,.,16,.,2.7,.,.,2.7,.,0.8,.,.,0.8,.,.,.,.,.,.,32,.,.,32,.
2018,16854,"Heartland Rural Elec Coop, Inc",KS,SWPP,"2,056",8,.,.,"2,064",.,.,.,.,.,6.2,0.0,.,.,6.2,0.6,0.0,.,.,0.6,20,.,.,.,20,23,.,.,.,23,.
2018,16865,Sawnee Electric Membership Corporation,GA,SOCO,"52,793",166,0,.,"52,959",7,0,0,.,7,7.1,0.2,0.0,.,7.2,2.5,0.1,0.0,.,2.5,"1,520",53,.,.,"1,572",688,.,.,.,688,.
2018,16920,Sedgwick County El Coop Assn Inc,KS,SWPP,.,.,50,.,50,.,.,10,.,10,.,.,1.8,.,1.8,.,.,1.0,.,1.0,.,.,61,.,61,.,.,2,.,2,.
2018,16932,City of Sergeant Bluff - (IA),IA,MISO,717,33,.,.,750,9,1,.,.,9,0.9,0.1,.,.,0.9,0.9,0.1,.,.,0.9,.,.,.,.,.,.,.,.,.,.,.
2018,16971,Shakopee Public Utilities Comm,MN,MISO,"1,926",.,.,.,"1,926",0,.,.,.,0,2.0,.,.,.,2.0,0.7,.,.,.,0.7,25,.,.,.,25,27,.,.,.,27,.
2018,17040,"Shelby Electric Coop, Inc",IL,MISO,"1,480",46,.,.,"1,526",.,.,.,.,.,6.3,7.5,.,.,13.8,3.0,3.5,.,.,6.5,0,0,.,.,0,4,1,.,.,5,.
2018,17066,Shenandoah Valley Elec Coop,VA,PJM,"14,115",.,.,.,"14,115",449,.,.,.,449,66.5,.,.,.,66.5,34.1,.,.,.,34.1,.,.,.,.,.,"1,165",.,.,.,"1,165",6
2018,17166,Sierra Pacific Power Co,NV,NEVP,"9,156",390,.,.,"9,546","2,274","1,474",.,.,"3,748",14.1,5.7,.,.,19.8,12.1,4.7,.,.,16.8,38,0,.,.,38,"3,153","1,402",.,.,"4,555",.
2018,17252,Singing River Elec Cooperative,MS,MISO,.,48,14,.,62,.,.,.,.,.,.,86.0,69.0,.,155.0,.,72.0,50.0,.,122.0,.,.,.,.,.,.,40,12,.,51,.
2018,17264,City of Sioux Center,IA,MISO,"1,852",.,.,.,"1,852",22,.,.,.,22,2.2,.,.,.,2.2,2.2,.,.,.,2.2,.,.,.,.,.,2,.,.,.,2,.
2018,17267,Sioux Valley SW Elec Coop,MN,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28
2018,17267,Sioux Valley SW Elec Coop,SD,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,197
2018,17539,"Dominion Energy South Carolina, Inc",SC,SCEG,.,12,26,.,38,.,32,553,.,585,.,32.0,138.0,.,170.0,.,7.0,79.0,.,86.0,.,190,"6,919",.,"7,109",.,.,.,.,.,.
2018,17543,South Carolina Public Service Authority,SC,SC,0,0,20,0,20,0,0,"12,665",0,"12,665",0.0,0.0,520.5,0.0,520.5,0.0,0.0,520.4,0.0,520.4,0,0,"100,700",0,"100,700",0,0,0,0,0,.
2018,17548,South Central Public Pwr Dist,NE,SWPP,0,0,952,0,952,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,34.0,0.0,34.0,0,0,"2,678",0,"2,678",0,0,118,0,118,.
2018,17561,South Plains Electric Coop Inc,TX,ERCO,.,.,"1,668",.,"1,668",.,.,110,.,110,.,.,46.0,.,46.0,.,.,.,.,.,.,.,738,.,738,.,.,133,.,133,.
2018,17572,South River Elec Member Corp,NC,CPLE,127,.,.,.,127,.,.,.,.,.,7.1,.,.,.,7.1,5.7,.,.,.,5.7,"6,350",.,.,.,"6,350",.,.,.,.,.,.
2018,17577,City of South Sioux City,NE,SWPP,.,1,.,.,1,.,"2,857",.,.,"2,857",.,13.4,.,.,13.4,.,2.6,.,.,2.6,.,145,.,.,145,.,.,.,.,.,.
2018,17599,Southeastern Indiana R E M C,IN,MISO,"1,167",.,.,.,"1,167",.,.,.,.,.,1.7,.,.,.,1.7,1.7,.,.,.,1.7,151,.,.,.,151,36,.,.,.,36,.
2018,17609,Southern California Edison Co,CA,CISO,"286,264","9,525","2,411",.,"298,200",.,.,.,.,.,228.0,206.0,522.0,.,956.0,184.0,195.0,510.0,.,889.0,"36,227","34,932","62,353",.,"133,512","4,449",312,511,.,"5,272",.
2018,17612,Bear Valley Electric Service,CA,CISO,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,.
2018,17633,Southern Indiana Gas & Elec Co,IN,MISO,"21,851",464,3,0,"22,318",14,0,0,0,14,23.5,1.1,37.3,0.0,61.9,14.5,0.0,0.0,0.0,14.5,596,33,7,0,636,29,1,0,0,30,.
2018,17637,Southern Maryland Elec Coop Inc,MD,PJM,"46,120",50,.,.,"46,170",0,0,.,.,0,38.9,17.0,.,.,55.9,38.9,17.0,.,.,55.9,"1,893",191,.,.,"2,084","4,426","1,340",.,.,"5,766",0
2018,17671,Southwest Arkansas E C C,AR,MISO,0,0,4,0,4,0,0,0,0,0,0.0,0.0,36.5,0.0,36.5,0.0,0.0,24.9,0.0,24.9,0,0,256,0,256,.,.,.,.,.,0
2018,17684,Southwest Louisiana E M C,LA,MISO,.,6,.,.,6,.,5,.,.,5,.,0.3,.,.,0.3,.,0.3,.,.,0.3,.,2,.,.,2,.,.,.,.,.,.
2018,17692,Southwest Public Power Dist,NE,SWPP,.,.,"1,135",.,"1,135",.,.,.,.,.,.,.,26.3,.,26.3,.,.,13.2,.,13.2,.,.,.,.,.,.,.,158,.,158,.
2018,17698,Southwestern Electric Power Co,AR,SWPP,0,11,7,0,18,0,42,52,0,94,0.0,10.0,3.1,0.0,13.1,0.0,3.9,0.0,0.0,3.9,0,91,73,0,164,0,10,13,0,23,0
2018,17698,Southwestern Electric Power Co,TX,SWPP,0,9,0,0,9,0,105,0,0,105,0.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0,0,192,0,0,192,0,34,0,0,34,0
2018,17718,Southwestern Public Service Co,NM,SWPP,"4,888",0,0,0,"4,888",4,0,0,0,4,5.5,0.0,0.0,0.0,5.5,2.3,0.0,0.0,0.0,2.3,153,0,0,0,153,157,0,0,0,157,0
2018,17718,Southwestern Public Service Co,TX,SWPP,"6,909",282,.,.,"7,191",0,20,.,.,20,6.3,4.7,.,.,11.0,0.0,4.5,.,.,4.5,370,227,.,.,597,247,139,.,.,386,0
2018,17832,Snapping Shoals El Member Corp,GA,SOCO,"95,281","4,078",42,.,"99,401",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,17868,St Croix Electric Coop,WI,MISO,"1,883",20,8,.,"1,911",.,.,.,.,.,12.8,2.7,0.5,.,16.0,4.3,0.9,0.2,.,5.4,70,1,2,.,73,8,1,3,.,12,.
2018,17876,City of St James - (MN),MN,MISO,436,47,0,0,483,1,1,0,0,2,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0,13,0,0,0,0,0,.
2018,17900,City of Saint Peter,MN,MISO,"1,759",89,0,0,"1,848",24,1,0,0,25,0.5,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.2,0,4,0,0,4,36,0,0,0,36,0
2018,17979,Stanton County Public Pwr Dist,NE,SWPP,128,0,184,0,312,0,0,0,0,0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,3,0,0,0,3,0,0,17,0,17,.
2018,18087,Town of Sterling - (MA),MA,ISNE,177,3,.,.,180,4,32,.,.,36,0.2,1.9,.,.,2.1,0.2,1.6,.,.,1.8,11,26,.,.,37,0,0,.,.,0,.
2018,18125,Stillwater Utilities Authority,OK,SWPP,.,1,.,.,1,.,779,.,.,779,.,2.0,.,.,2.0,.,1.0,.,.,1.0,.,37,.,.,37,.,.,.,.,.,.
2018,18203,Tallapoosa River Elec Coop Inc,AL,AEC,.,.,1,.,1,.,.,.,.,.,.,.,3.2,.,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,18280,Sulphur Springs Valley E C Inc,AZ,WALC,.,789,.,.,789,.,55,.,.,55,.,78.0,.,.,78.0,.,13.2,.,.,13.2,.,0,.,.,0,.,2,.,.,2,.
2018,18304,"Sumter Electric Coop, Inc",FL,SEC,.,15,.,.,15,.,120,.,.,120,.,14.0,.,.,14.0,.,13.0,.,.,13.0,.,.,.,.,.,.,376,.,.,376,.
2018,18383,Taylor Electric Coop - (WI),WI,MISO,"1,936",144,.,.,"2,080",.,.,.,.,.,3.9,2.4,.,.,6.3,1.2,0.8,.,.,2.0,346,26,.,.,372,34,3,.,.,37,.
2018,18445,City of Tallahassee - (FL),FL,TAL,.,12,.,.,12,.,.,.,.,.,.,45.6,.,.,45.6,.,.,.,.,.,.,"7,089",.,.,"7,089",.,.,.,.,.,.
2018,18454,Tampa Electric Co,FL,TEC,.,199,34,.,233,.,"7,265","25,370",.,"32,635",.,83.0,100.0,.,183.0,.,.,.,.,.,0,"5,866","17,561",.,"23,427",18,"1,868",25,.,"1,911",0
2018,18488,City of Taunton,MA,ISNE,.,11,.,.,11,.,33,.,.,33,.,12.0,.,.,12.0,.,8.0,.,.,8.0,.,10,.,.,10,.,.,.,.,.,.
2018,18642,Tennessee Valley Authority,AL,TVA,.,10,140,.,150,.,50,"4,453",.,"4,503",.,1.0,565.0,.,566.0,.,1.0,392.0,.,393.0,.,34,"26,780",.,"26,814",.,34,712,.,746,.
2018,18642,Tennessee Valley Authority,GA,TVA,.,1,3,.,4,.,5,170,.,175,.,.,30.0,.,30.0,.,.,14.0,.,14.0,.,3,"1,617",.,"1,620",.,3,.,.,3,.
2018,18642,Tennessee Valley Authority,KY,TVA,.,31,112,.,143,.,116,"1,697",.,"1,813",.,8.0,163.0,.,171.0,.,3.0,124.0,.,127.0,.,119,"7,852",.,"7,971",.,77,327,.,404,.
2018,18642,Tennessee Valley Authority,MS,TVA,.,40,17,.,57,.,311,667,.,978,.,9.0,580.0,.,589.0,.,8.0,67.0,.,75.0,.,209,"20,618",.,"20,827",.,208,26,.,234,.
2018,18642,Tennessee Valley Authority,TN,TVA,.,725,280,.,"1,005",.,"3,605","4,063",.,"7,668",.,104.0,715.0,.,819.0,.,90.0,388.0,.,478.0,.,"2,940","24,613",.,"27,553",.,"2,409",903,.,"3,312",.
2018,18642,Tennessee Valley Authority,VA,TVA,.,4,1,.,5,.,21,1,.,22,.,1.0,.,.,1.0,.,1.0,.,.,1.0,.,14,1,.,15,.,14,1,.,15,.
2018,18820,City of Thief River Falls,MN,MISO,425,60,.,.,485,180,22,.,.,202,3.0,2.0,.,.,5.0,3.0,2.0,.,.,5.0,.,.,.,.,.,60,11,.,.,71,.
2018,18997,The Toledo Edison Co,OH,PJM,0,0,4,0,4,0,0,0,0,0,0.0,0.0,193.2,0.0,193.2,0.0,0.0,0.0,0.0,0.0,0,0,"10,991",0,"10,991",0,0,0,0,0,.
2018,19157,MiEnergy Cooperative,IA,MISO,"2,747",163,0,0,"2,910",0,0,0,0,0,1.6,2.8,0.0,0.0,4.4,1.5,2.7,0.0,0.0,4.2,272,16,0,0,288,123,7,0,0,130,0
2018,19157,MiEnergy Cooperative,MN,MISO,"6,220",370,0,0,"6,590",0,0,0,0,0,3.6,6.4,0.0,0.0,10.0,3.5,6.1,0.0,0.0,9.6,615,37,0,0,652,277,17,0,0,294,11
2018,19160,"Tri-County Electric Coop, Inc",OK,SWPP,.,.,17,.,17,.,.,325,.,325,.,.,0.3,.,0.3,.,.,0.3,.,0.3,.,.,"5,866",.,"5,866",.,.,"1,500",.,"1,500",.
2018,19189,Trico Electric Cooperative Inc,AZ,WALC,.,20,2,.,22,.,0,0,.,0,.,2.8,0.8,.,3.5,.,2.1,0.5,.,2.6,.,.,.,.,.,.,.,.,.,.,.
2018,19327,"TXU Energy Retail Co, LLC",TX,ERCO,"3,279",0,0,0,"3,279",26,0,0,0,26,33.9,0.0,0.0,0.0,33.9,4.6,0.0,0.0,0.0,4.6,1,0,0,0,1,206,0,0,0,206,0
2018,19396,Tri-County Electric Coop,MI,MISO,"5,959",.,.,.,"5,959",0,.,.,.,0,25.1,.,.,.,25.1,17.5,.,.,.,17.5,524,.,.,.,524,18,.,.,.,18,64
2018,19446,Duke Energy Kentucky,KY,PJM,"12,183",11,7,.,"12,201",.,.,.,.,.,13.1,7.8,12.5,.,33.4,10.0,0.0,0.0,.,10.0,188,365,.,.,553,354,0,.,.,354,.
2018,19490,United Electric Coop Service Inc - (TX),TX,ERCO,"30,218","5,341",30,.,"35,589",130,53,60,.,243,2.8,0.9,1.0,.,4.6,2.5,0.9,1.0,.,4.3,61,.,.,.,61,.,.,.,.,.,.
2018,19499,"United Power, Inc",CO,WACM,"6,800",100,2,0,"6,902",1,1,0,0,2,6.5,0.5,4.5,0.0,11.5,6.5,0.5,4.5,0.0,11.5,204,25,550,0,779,50,10,550,0,610,.
2018,19547,Hawaiian Electric Co Inc,HI,HECO,"33,587",219,.,.,"33,806",423,"1,126",.,.,"1,549",14.1,17.6,.,.,31.7,.,.,.,.,.,"1,409","2,028",.,.,"3,437",513,514,.,.,"1,027",10
2018,19687,City of Valley City,ND,SWPP,441,73,.,.,514,.,.,.,.,.,4.0,3.0,.,.,7.0,3.0,2.0,.,.,5.0,63,80,.,.,143,14,.,.,.,14,.
2018,19728,"UNS Electric, Inc",AZ,TEPC,0,31,0,0,31,0,"1,913",0,0,"1,913",0.0,5.9,0.0,0.0,5.9,0.0,5.9,0.0,0.0,5.9,0,0,0,0,0,0,4,0,0,4,.
2018,19788,City of Vermillion - (SD),SD,SWPP,"3,707",.,.,.,"3,707",69,.,.,.,69,18.0,.,.,.,18.0,4.0,.,.,.,4.0,1,.,.,.,1,.,.,.,.,.,.
