Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2018,3248,Central Georgia El Member Corp,GA,SOCO,"4,117",.,.,.,"4,117",84,.,.,.,84,5.0,.,.,.,5.0,3.0,.,.,.,3.0,82,.,.,.,82,160,.,.,.,160,39
2018,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"3,263",7,4,.,"3,274",60,1,5,.,65,4.3,0.7,4.5,.,9.5,4.3,0.7,4.5,.,9.5,.,.,.,.,.,.,.,.,.,.,.
2018,3278,AEP Texas Central Company,TX,ERCO,0,61,0,0,61,0,24,0,0,24,0.0,30.1,0.0,0.0,30.1,0.0,23.7,0.0,0.0,23.7,0,0,0,0,0,0,0,0,0,0,0
2018,3279,"Central Power Elec Coop, Inc",ND,SWPP,.,.,.,.,.,"2,637",344,.,.,"2,981",12.6,0.8,.,.,13.5,12.6,0.8,.,.,13.5,.,.,.,.,.,245,325,25,.,595,.
2018,3293,Central Wisconsin Elec Coop,WI,MISO,"1,699",132,.,.,"1,831",400,300,.,.,700,4.0,5.0,.,.,9.0,2.0,2.0,.,.,4.0,234,209,.,.,443,.,.,.,.,.,.
2018,3329,Borough of Chambersburg,PA,PJM,.,.,5,.,5,.,.,.,.,.,.,.,2.6,.,2.6,.,.,2.6,.,2.6,.,.,33,.,33,.,.,1,.,1,.
2018,3498,Chippewa Valley Electric Coop,WI,MISO,"3,914",51,0,0,"3,965",0,0,0,0,0,7.6,0.0,0.0,0.0,7.6,3.8,0.0,0.0,0.0,3.8,514,7,0,0,521,71,1,0,0,72,8
2018,3502,"Choctawhatche Elec Coop, Inc",FL,AEC,"45,411","6,377",.,.,"51,788",0,0,.,.,0,36.3,4.7,.,.,41.0,36.3,4.7,.,.,41.0,31,0,.,.,31,34,0,.,.,34,.
2018,3503,"Choptank Electric Coop, Inc",MD,PJM,0,213,9,.,222,0,0,0,.,0,0.0,49.7,49.1,.,98.8,0.0,32.1,42.5,.,74.6,0,0,0,.,0,0,12,1,.,12,.
2018,3542,Duke Energy Ohio Inc,OH,PJM,"44,777",1,4,.,"44,782",.,.,.,.,.,59.5,4.0,44.0,.,107.5,.,.,.,.,.,626,"2,139",.,.,"2,765",376,.,.,.,376,.
2018,3701,Clark Electric Coop - (WI),WI,MISO,"2,295",423,.,.,"2,718",0,0,.,.,0,1.0,1.5,.,.,2.5,1.0,1.5,.,.,2.5,71,13,.,.,84,12,2,.,.,14,.
2018,3755,Cleveland Electric Illum Co,OH,PJM,0,0,4,0,4,0,0,190,0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"10,325",0,"10,325",0,0,0,0,0,.
2018,3757,"Clay Electric Cooperative, Inc",FL,SEC,.,4,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,3764,Clearwater-Polk Elec Coop Inc,MN,MISO,"1,758",7,.,.,"1,765",297,20,.,.,317,55.8,1.0,.,.,56.8,15.1,1.0,.,.,16.1,824,80,.,.,904,10,.,.,.,10,0
2018,3804,Clinton Combined Utility Sys,SC,DUK,424,.,.,.,424,0,.,.,.,0,0.3,.,.,.,0.3,0.0,.,.,.,0.0,0,.,.,.,0,36,.,.,.,36,0
2018,3844,"Coastal Electric Coop, Inc",SC,SC,815,0,0,0,815,8,0,0,0,8,0.7,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,6,.,.,.,6,.,.,.,.,.,.
2018,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,945",149,6,.,"5,100",.,.,.,.,.,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,3989,City of Colorado Springs - (CO),CO,WACM,"1,719",0,0,0,"1,719",0,0,0,0,0,1.9,0.0,0.0,0.0,1.9,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,177,0,0,0,177,.
2018,4045,City of Columbia - (MO),MO,MISO,.,14,.,.,14,.,0,.,.,0,.,2.0,.,.,2.0,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.
2018,4065,City of Columbus - (OH),OH,PJM,0,3,18,0,21,.,.,.,.,.,0.0,0.5,15.1,.,15.6,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.
2018,4110,Commonwealth Edison Co,IL,PJM,"86,000","1,520","1,265",0,"88,785",120,0,0,0,120,86.0,260.0,640.0,0.0,986.0,86.0,0.0,0.0,0.0,86.0,"2,840",0,0,0,"2,840","2,470",50,50,0,"2,570",.
2018,4117,Community Electric Coop,VA,PJM,"1,600",1,2,.,"1,603",6,3,16,.,24,6.7,0.3,3.0,.,10.0,5.0,0.2,3.0,.,8.2,3,22,40,.,65,.,.,.,.,.,.
2018,4147,Town of Concord - (MA),MA,ISNE,488,10,.,.,498,22,16,.,.,38,6.8,1.0,.,.,7.8,6.8,1.0,.,.,7.8,0,0,.,.,0,1,0,.,.,1,.
2018,4176,Connecticut Light & Power Co,CT,ISNE,.,45,33,.,78,.,.,.,.,.,.,20.5,64.2,.,84.7,.,7.1,32.5,.,39.7,0,161,734,.,895,529,109,464,.,"1,102",.
2018,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"45,000","1,541",.,.,"46,541",247,"4,693",.,.,"4,940",31.0,297.0,.,.,328.0,17.0,270.0,.,.,287.0,723,"47,670",.,.,"48,393","9,166",665,.,.,"9,831",.
2018,4254,Consumers Energy Co,MI,MISO,"74,737",107,36,0,"74,880",879,0,0,0,879,43.3,74.1,214.1,0.0,331.5,34.5,0.0,0.0,0.0,34.5,"1,501","1,827","10,389",0,"13,718","3,888","3,026",0,0,"6,914",.
2018,4295,Comanche County Elec Coop Assn,TX,ERCO,.,11,.,.,11,.,.,.,.,.,.,2.2,.,.,2.2,.,1.0,.,.,1.0,.,47,.,.,47,.,0,.,.,0,.
2018,4362,Corn Belt Energy Corporation,IL,MISO,.,60,.,.,60,.,.,.,.,.,.,3.5,.,.,3.5,.,3.5,.,.,3.5,.,"1,029",.,.,"1,029",.,.,.,.,.,.
2018,4363,Corn Belt Power Coop,IA,SWPP,"5,161",.,2,.,"5,163",.,.,.,.,.,41.7,.,42.0,.,83.7,39.4,.,29.8,.,69.2,.,.,.,.,.,.,.,.,.,.,0
2018,4430,"Covington Electric Coop, Inc",AL,AEC,"2,631",.,.,.,"2,631",.,.,.,.,.,0.3,.,.,.,0.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,393
2018,4432,Coweta-Fayette El Member Corp,GA,SOCO,"11,696",0,0,0,"11,696",95,0,0,0,95,15.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,8.0,116,0,0,0,116,0,0,0,0,0,.
2018,4509,Craighead Electric Coop Corp,AR,MISO,.,658,1,.,659,.,.,.,.,.,.,21.9,1.2,.,23.1,.,6.0,1.2,.,7.2,.,.,.,.,.,.,783,32,.,815,.
2018,4538,Crisp County Power Comm,GA,SOCO,.,.,2,.,2,.,.,.,.,.,.,.,12.0,.,12.0,.,.,10.0,.,10.0,.,.,.,.,.,.,.,.,.,.,.
2018,4675,Cuivre River Electric Coop Inc,MO,AECI,420,24,.,.,444,0,0,.,.,0,1.0,8.9,.,.,9.9,1.0,6.4,.,.,7.4,"15,285",0,.,.,"15,285","3,000",0,.,.,"3,000",.
2018,4704,"DS&O Electric Cooperative, Inc.",KS,SWPP,165,0,.,.,165,2,.,.,.,2,1.5,.,.,.,1.5,1.5,.,.,.,1.5,3,.,.,.,3,1,.,.,.,1,16
2018,4794,City of Danville - (VA),VA,PJM,.,3,4,.,7,.,.,.,.,.,.,2.0,12.2,.,14.2,.,2.0,12.2,.,14.2,.,67,198,.,265,.,.,.,.,.,.
2018,4911,Dawson Power District,NE,SWPP,.,.,"4,490",.,"4,490",.,.,.,.,.,.,.,75.3,.,75.3,.,.,36.7,.,36.7,.,.,.,.,.,.,.,360,.,360,.
2018,4960,Decatur County Rural E M C,IN,MISO,39,.,.,.,39,.,.,.,.,.,0.0,.,.,.,0.0,0.0,.,.,.,0.0,1,.,.,.,1,.,.,.,.,.,.
2018,5027,Delmarva Power,DE,PJM,"213,598","19,345",0,0,"232,943","1,112",101,0,0,"1,213",104.5,9.5,0.0,0.0,114.0,104.5,9.5,0.0,0.0,114.0,575,48,0,0,623,"1,456",.,.,.,"1,456",.
2018,5027,Delmarva Power,MD,PJM,"143,910","1,845",0,0,"145,755","3,822",222,0,0,"4,044",76.4,4.6,0.0,0.0,81.0,76.4,4.6,0.0,0.0,81.0,"4,090",174,0,0,"4,264","2,265",148,0,0,"2,413",.
2018,5056,City of Denison - (IA),IA,SWPP,"2,428",164,20,.,"2,612",26,3,0,.,30,1.5,0.2,0.0,.,1.8,1.5,0.2,0.0,.,1.8,81,7,20,.,108,.,.,.,.,.,.
2018,5070,Delaware Electric Cooperative,DE,PJM,"28,242","1,165",.,.,"29,407",1,0,.,.,1,17.2,2.4,.,.,19.6,16.2,2.0,.,.,18.2,23,47,.,.,70,8,8,.,.,16,.
2018,5078,"Denton County Elec Coop, Inc",TX,ERCO,"10,813",.,.,.,"10,813",83,.,.,.,83,24.3,.,.,.,24.3,21.9,.,.,.,21.9,539,.,.,.,539,277,.,.,.,277,.
2018,5109,DTE Electric Company,MI,MISO,"323,821","2,043",227,.,"326,091",376,.,.,.,376,140.0,100.0,364.0,.,604.0,110.0,.,.,.,110.0,.,.,.,.,.,"5,000",.,.,.,"5,000",.
2018,5111,City of Detroit Lakes - (MN),MN,MISO,"1,817",107,12,.,"1,936",303,34,0,.,337,1.9,0.2,0.0,.,2.1,1.8,0.2,0.0,.,2.0,306,106,8,.,420,187,10,2,.,199,.
2018,5335,City of Dover - (DE),DE,PJM,.,2,2,.,4,.,.,.,.,.,.,2.2,2.2,.,4.4,.,2.2,2.2,.,4.4,.,129,146,.,275,.,.,.,.,.,.
2018,5336,City of Dover - (OH),OH,PJM,.,.,5,.,5,.,.,3,.,3,.,.,3.4,.,3.4,.,.,3.4,.,3.4,.,.,31,.,31,.,.,.,.,.,.
2018,5416,"Duke Energy Carolinas, LLC",NC,DUK,.,468,.,.,468,.,.,.,.,.,.,266.1,.,.,266.1,.,.,.,.,.,"5,433","7,305",.,.,"12,738","5,095","2,128",.,.,"7,222",.
2018,5416,"Duke Energy Carolinas, LLC",SC,DUK,.,212,.,.,212,.,.,.,.,.,.,141.2,.,.,141.2,.,.,.,.,.,"1,780","3,489",.,.,"5,269","2,114",.,.,.,"2,114",.
2018,5417,Dunn County Electric Coop,WI,MISO,"3,219",323,.,.,"3,542",.,.,.,.,.,1.7,19.7,.,.,21.4,0.5,5.5,.,.,6.0,113,11,.,.,124,114,12,.,.,126,3
2018,5480,Town of Danvers,MA,ISNE,"1,412",65,8,.,"1,485",7,0,2,.,9,0.3,0.0,0.4,.,0.7,0.3,0.0,0.4,.,0.7,4,1,5,.,10,29,37,24,.,90,.
2018,5487,Duquesne Light Co,PA,PJM,.,110,8,.,118,.,583,649,.,"1,232",.,27.0,27.1,.,54.1,.,24.3,27.1,.,51.4,.,536,424,.,960,.,516,576,.,"1,092",0
2018,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,.,.,.,.,.,.,.,.,.,.,32.6,37.6,9.4,0.0,79.6,32.6,37.6,9.4,0.0,79.6,0,0,0,0,0,"1,377",275,69,0,"1,721",273
2018,5575,City of East Grand Forks - (MN),MN,MISO,857,66,.,.,923,242,358,.,.,600,4.0,2.0,.,.,6.0,2.0,2.0,.,.,4.0,41,2,.,.,43,22,22,.,.,44,.
2018,5580,"East Kentucky Power Coop, Inc",KY,PJM,205,0,6,0,211,1,0,0,0,1,0.0,0.0,321.0,0.0,321.0,0.0,0.0,321.0,0.0,321.0,548,0,"13,505",0,"14,053",972,0,0,0,972,65
2018,5632,Eau Claire Electric Coop,WI,MISO,"4,334",133,0,0,"4,467",0,0,0,0,0,2.5,13.3,0.0,0.0,15.8,0.8,4.4,0.0,0.0,5.2,627,19,0,0,646,88,3,0,0,91,53
2018,5701,El Paso Electric Co,TX,EPE,"1,971",6,5,0,"1,982",43,13,12,0,67,1.8,5.0,4.6,0.0,11.4,1.8,5.0,4.6,0.0,11.4,201,224,182,0,607,11,8,8,0,27,.
2018,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,.,.,"1,344",.,"1,344",.,.,.,.,.,.,.,27.1,.,27.1,.,.,27.1,.,27.1,.,.,0,.,0,.,.,188,.,188,.
2018,5860,Empire District Electric Co,MO,SWPP,.,.,2,.,2,.,.,.,.,.,.,.,0.8,.,0.8,.,.,.,.,.,.,.,11,.,11,.,.,.,.,.,.
2018,5880,"Energy Coop of New York, Inc",NY,NYIS,0,3,0,0,3,.,.,.,.,.,.,11.5,.,.,11.5,.,11.5,.,.,11.5,.,.,.,.,.,.,.,.,.,.,.
2018,5905,Excelsior Electric Member Corp,GA,SOCO,267,0,229,0,496,2,0,70,0,72,0.2,0.0,9.4,0.0,9.6,.,0.0,2.3,0.0,2.3,.,.,.,.,.,.,.,15,.,15,.
2018,5964,"Escambia River Elec Coop, Inc",FL,AEC,"1,008",.,.,.,"1,008",97,.,.,.,97,5.0,.,.,.,5.0,4.0,.,.,.,4.0,70,.,.,.,70,43,.,.,.,43,.
2018,6151,Fairmont Public Utilities Comm,MN,MISO,"3,124",814,1,0,"3,939",49,12,0,0,62,1.3,0.3,0.1,0.0,1.7,0.4,0.3,0.0,0.0,0.7,3,1,0,0,4,0,1,0,0,1,0
2018,6181,"Farmers Electric Coop, Inc - (MO)",MO,AECI,"5,843",30,1,.,"5,874",174,5,0,.,179,5.8,0.3,0.0,.,6.1,4.3,0.2,0.0,.,4.6,0,0,0,0,0,18,0,.,.,18,.
2018,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,800,.,.,.,800,9,.,.,.,9,1.7,.,.,.,1.7,1.7,.,.,.,1.7,87,.,.,.,87,10,.,.,.,10,.
2018,6342,First Electric Coop Corp,AR,MISO,"6,177",0,626,0,"6,803",52,0,801,0,853,6.2,0.0,72.5,0.0,78.7,1.0,0.0,13.2,0.0,14.2,173,0,"4,438",0,"4,610",5,0,5,0,10,.
2018,6395,Flathead Electric Coop Inc,MT,BPAT,"2,822",.,.,.,"2,822",.,.,.,.,.,23.5,.,.,.,23.5,21.5,.,.,.,21.5,121,.,.,.,121,402,.,.,.,402,.
2018,6411,Flint Electric Membership Corp,GA,SOCO,"22,086",406,577,.,"23,069",77,3,181,.,260,20.4,1.0,32.6,.,54.0,3.0,0.2,6.8,.,10.0,327,2,105,.,434,262,2,10,.,274,.
2018,6431,"Flint Hills Rural E C A, Inc",KS,SWPP,481,28,15,.,524,.,.,.,.,.,0.6,0.3,0.4,.,1.2,0.6,0.3,0.4,.,1.2,31,16,24,.,71,3,2,2,.,7,.
2018,6452,Florida Power & Light Co,FL,FPL,"710,643","21,338",.,.,"731,981",828,"6,654",.,.,"7,482",805.0,810.0,.,.,"1,615.0",.,.,.,.,.,"33,177","67,336",.,.,"100,513","17,613","4,505",.,.,"22,118",.
2018,6455,"Duke Energy Florida, LLC",FL,FPC,"422,622",703,0,0,"423,325",.,.,.,.,.,661.0,365.0,0.0,0.0,"1,026.0",0.0,0.0,0.0,0.0,0.0,"24,973","43,723",0,0,"68,696","19,740","1,982",0,0,"21,722",.
2018,6604,City of Fort Collins - (CO),CO,PSCO,"5,432",6,0,0,"5,438",.,.,.,.,.,3.1,1.0,0.0,0.0,4.1,2.5,0.3,0.0,0.0,2.8,131,.,.,.,131,505,.,.,.,505,.
2018,6640,Four County Elec Member Corp,NC,CPLE,.,.,4,.,4,.,.,620,.,620,.,.,70.0,.,70.0,.,.,32.0,.,32.0,.,.,"1,676",.,"1,676",.,.,.,.,.,.
2018,6709,Easley Combined Utility System,SC,DUK,453,.,.,.,453,0,.,.,.,0,0.3,.,.,.,0.3,0.1,.,.,.,0.1,26,.,.,.,26,39,.,.,.,39,0
2018,6782,Freeborn-Mower Coop Services,MN,MISO,"1,530",73,0,0,"1,603",0,0,0,0,0,0.9,14.1,0.0,0.0,15.0,0.4,6.0,0.0,0.0,6.4,248,12,0,0,260,72,3,0,0,75,13
2018,7004,"Buckeye Power, Inc",OH,PJM,"121,346",40,.,.,"121,386","3,311",518,.,.,"3,829",58.1,6.0,.,.,64.1,34.4,6.0,.,.,40.4,167,0,.,.,167,575,0,.,.,575,.
